Epoch 1/30, Train Loss: 1.8647, Train Acc: 26.74%, Val Loss: 1.7531, Val Acc: 33.12%
Epoch 2/30, Train Loss: 1.4948, Train Acc: 43.26%, Val Loss: 1.5054, Val Acc: 39.17%
Epoch 3/30, Train Loss: 1.3197, Train Acc: 48.40%, Val Loss: 1.3308, Val Acc: 48.75%
Epoch 4/30, Train Loss: 1.2235, Train Acc: 53.61%, Val Loss: 1.2399, Val Acc: 52.50%
Epoch 5/30, Train Loss: 1.1484, Train Acc: 55.76%, Val Loss: 1.2196, Val Acc: 54.58%
Epoch 6/30, Train Loss: 1.1053, Train Acc: 57.15%, Val Loss: 1.2424, Val Acc: 52.92%
Epoch 7/30, Train Loss: 1.0950, Train Acc: 57.22%, Val Loss: 1.2517, Val Acc: 52.08%
Epoch 8/30, Train Loss: 1.0353, Train Acc: 58.96%, Val Loss: 1.2683, Val Acc: 51.88%
Epoch 9/30, Train Loss: 1.0107, Train Acc: 60.49%, Val Loss: 1.2836, Val Acc: 55.62%
Epoch 10/30, Train Loss: 1.0051, Train Acc: 60.97%, Val Loss: 1.2583, Val Acc: 53.75%
Epoch 11/30, Train Loss: 1.0053, Train Acc: 60.69%, Val Loss: 1.2591, Val Acc: 54.17%
Epoch 12/30, Train Loss: 0.9882, Train Acc: 61.60%, Val Loss: 1.2964, Val Acc: 55.00%
Epoch 13/30, Train Loss: 0.9706, Train Acc: 61.25%, Val Loss: 1.2725, Val Acc: 54.38%
Epoch 14/30, Train Loss: 0.9701, Train Acc: 61.46%, Val Loss: 1.3166, Val Acc: 56.88%
Epoch 15/30, Train Loss: 0.9895, Train Acc: 61.53%, Val Loss: 1.3226, Val Acc: 55.83%
Epoch 16/30, Train Loss: 0.9361, Train Acc: 63.68%, Val Loss: 1.2813, Val Acc: 57.08%
Epoch 17/30, Train Loss: 0.9242, Train Acc: 64.79%, Val Loss: 1.2747, Val Acc: 55.42%
Epoch 18/30, Train Loss: 0.9375, Train Acc: 63.12%, Val Loss: 1.3493, Val Acc: 55.42%
Epoch 19/30, Train Loss: 0.9100, Train Acc: 63.82%, Val Loss: 1.3463, Val Acc: 54.38%
Epoch 20/30, Train Loss: 0.8822, Train Acc: 65.14%, Val Loss: 1.3507, Val Acc: 55.62%
Epoch 21/30, Train Loss: 0.8828, Train Acc: 66.81%, Val Loss: 1.3468, Val Acc: 56.04%
Epoch 22/30, Train Loss: 0.8889, Train Acc: 65.49%, Val Loss: 1.2995, Val Acc: 57.29%
Epoch 23/30, Train Loss: 0.8748, Train Acc: 65.35%, Val Loss: 1.2437, Val Acc: 55.21%
Epoch 24/30, Train Loss: 0.8802, Train Acc: 65.69%, Val Loss: 1.3555, Val Acc: 55.62%
Epoch 25/30, Train Loss: 0.8436, Train Acc: 65.62%, Val Loss: 1.2480, Val Acc: 58.12%
Epoch 26/30, Train Loss: 0.8558, Train Acc: 66.94%, Val Loss: 1.3552, Val Acc: 56.04%
Epoch 27/30, Train Loss: 0.8221, Train Acc: 67.64%, Val Loss: 1.2949, Val Acc: 56.67%
Epoch 28/30, Train Loss: 0.8163, Train Acc: 67.50%, Val Loss: 1.3544, Val Acc: 54.79%
Epoch 29/30, Train Loss: 0.8339, Train Acc: 67.57%, Val Loss: 1.3686, Val Acc: 55.62%
Epoch 30/30, Train Loss: 0.8308, Train Acc: 68.26%, Val Loss: 1.3777, Val Acc: 56.04%
